mmd_english,mmd_english_alt,mmd_japanese,mmd_japaneseLR,ffxiv,yakuza,fortnite,xna_lara,daz_poser,blender_rigify,sims_2,motion_builder,3ds_max,type_x,bepu,project_mirai,manuel_bastioni_lab,makehuman_mhx,sims_3,doa5lr,Bip_001,biped_3ds_max,biped_sfm,valvebiped,iClone7,autorig_pro,mixamo
groove,Groove,グルーブ,グルーブ,,,,,,,,,,,,,,,,,,,,,,,
groove_2,Groove2,グルーブ2,グルーブ2,,,,,,,,,,,,,,,,,,,,,,,
leg IK_L,LegIK_L,左足ＩＫ,足ＩＫ.L,,,,,,,,,,,,,,,,,,,,,,,
toe IK_L,ToeTipIK_L,左つま先ＩＫ,つま先ＩＫ.L,,,,,,,,,,,,,,,,,,,,,,,
leg IK_root_L,LegIKParent_L,左足IK親,足IK親.L,,,,,,,,,,,,,,,,,,,,,,,
leg IK_R,LegIK_R,右足ＩＫ,足ＩＫ.R,,,,,,,,,,,,,,,,,,,,,,,
toe IK_R,ToeTipIK_R,右つま先ＩＫ,つま先ＩＫ.R,,,,,,,,,,,,,,,,,,,,,,,
leg IK_root_R,LegIKParent_R,右足IK親,足IK親.R,,,,,,,,,,,,,,,,,,,,,,,
leg_L_D,LegD_L,左足D,足D.L,,asi1_twist_l_sup,,,,,,,,,,,,,,,,,,,,,
knee_L_D,KneeD_L,左ひざD,ひざD.L,,asi2_l_sup,,,,,,,,,,,,,,,,,,,,,
ankle_L_D,AnkleD_L,左足首D,足首D.L,,,,,,,,,,,,,,,,,,,,,,,
toe_L_EX,LegTipEX_L,左足先EX,足先EX.L,,,,,,,,,,,,,,,,,,,,,,,
leg_R_D,LegD_R,右足D,足D.R,,asi1_twist_r_sup,,,,,,,,,,,,,,,,,,,,,
knee_R_D,KneeD_R,右ひざD,ひざD.R,,asi2_r_sup,,,,,,,,,,,,,,,,,,,,,
ankle_R_D,AnkleD_R,右足首D,足首D.R,,,,,,,,,,,,,,,,,,,,,,,
toe_R_EX,LegTipEX_R,右足先EX,足先EX.R,,,,,,,,,,,,,,,,,,,,,,,
waist_cancel_L,WaistCancel_L,腰キャンセル左,腰キャンセル.L,,,,,,,,,,,,,,,,,,,,,,,
waist_cancel_R,WaistCancel_R,腰キャンセル右,腰キャンセル.R,,,,,,,,,,,,,,,,,,,,,,,
eyes,Eyes,両目,両目,,,,,,,,,,,,,,,,,,,,,,,
arm_twist_L,ArmTwist_L,左腕捩,腕捩.L,n_hkata_l,kata_twist_l_sup,upperarm_twist_01_l,,,,,,,,,,,,,,,,,,,,
arm_twist_1_L,ArmTwist1_L,左腕捩1,腕捩1.L,,,,,,,,,,,,,,,,,,,,,,,
arm_twist_2_L,ArmTwist2_L,左腕捩2,腕捩2.L,,,,,,,,,,,,,,,,,,,,,,,
arm_twist_3_L,ArmTwist3_L,左腕捩3,腕捩3.L,,,,,,,,,,,,,,,,,,,,,,,
arm_twist_R,ArmTwist_R,右腕捩,腕捩.R,n_hkata_r,kata_twist_r_sup,upperarm_twist_01_r,,,,,,,,,,,,,,,,,,,,
arm_twist_1_R,ArmTwist1_R,右腕捩1,腕捩1.R,,,,,,,,,,,,,,,,,,,,,,,
arm_twist_2_R,ArmTwist2_R,右腕捩2,腕捩2.R,,,,,,,,,,,,,,,,,,,,,,,
arm_twist_3_R,ArmTwist3_R,右腕捩3,腕捩3.R,,,,,,,,,,,,,,,,,,,,,,,
wrist_twist_L,HandTwist_L,左手捩,手捩.L,n_hte_l,,lowerarm_twist_01_l,,,,,,,,,,,,,,,,,,,,
wrist_twist_1_L,HandTwist1_L,左手捩1,手捩1.L,,,,,,,,,,,,,,,,,,,,,,,
wrist_twist_2_L,HandTwist2_L,左手捩2,手捩2.L,,,,,,,,,,,,,,,,,,,,,,,
wrist_twist_3_L,HandTwist3_L,左手捩3,手捩3.L,,,,,,,,,,,,,,,,,,,,,,,
wrist_twist_R,HandTwist_R,右手捩,手捩.R,n_hte_r,,lowerarm_twist_01_r,,,,,,,,,,,,,,,,,,,,
wrist_twist_1_R,HandTwist1_R,右手捩1,手捩1.R,,,,,,,,,,,,,,,,,,,,,,,
wrist_twist_2_R,HandTwist2_R,右手捩2,手捩2.R,,,,,,,,,,,,,,,,,,,,,,,
wrist_twist_3_R,HandTwist3_R,右手捩3,手捩3.R,,,,,,,,,,,,,,,,,,,,,,,
shoulder_P_L,ShoulderP_L,左肩P,肩P.L,,,,,,,,,,,,,,,,,,,,,,,
shoulder_P_R,ShoulderP_R,右肩P,肩P.R,,,,,,,,,,,,,,,,,,,,,,,
shoulder_C_L,Shoulder_C_L,左肩C,肩C.L,,,,,,,,,,,,,,,,,,,,,,,
shoulder_C_R,Shoulder_C_R,右肩C,肩C.R,,,,,,,,,,,,,,,,,,,,,,,
view cnt,ControlNode,操作中心,操作中心,,,,,,,,,,,,,,,,,,,,,,,
dummy_L,Dummy_L,左ダミー,ダミー.L,n_buki_l,,,,,,,,,,,,,,,,,,,,,,
dummy_R,Dummy_R,右ダミー, ダミー.R,n_buki_r,,,,,,,,,,,,,,,,,,,,,,
shoulder+_L,Shoulder+_L,左肩+,肩+.L,,,,,,,,,,,,,,,,,,,,,,,
shoulder+_R,Shoulder+_R,右肩+,肩+.R,,,,,,,,,,,,,,,,,,,,,,,
arm+_L,Arm+_L,左腕+,腕+.L,,,,,,,,,,,,,,,,,,,,,,,
arm+_R,Arm+_R,右腕+,腕+.R,,,,,,,,,,,,,,,,,,,,,,,
elbow+_L,Elbow+_L,左ひじ+,ひじ+.L,,,,,,,,,,,,,,,,,,,,,,,
elbow+_R,Elbow+_R,右ひじ+,ひじ+.R,,,,,,,,,,,,,,,,,,,,,,,
wrist+_L,Wrist+_L,左手首+,手首+.L,,,,,,,,,,,,,,,,,,,,,,,
wrist+_R,Wrist+_R,右手首+,手首+.R,,,,,,,,,,,,,,,,,,,,,,,
